id_cliente_origen,tipo_cliente,frecuencia_compra,gasto_total,ticket_promedio,margen_promedio,cluster
2,mayoreo,43,11123.6,258.69,127.24,1
3,regular,72,20911.48,290.44,163.66,2
4,regular,49,12826.03,261.76,134.61,1
5,mayoreo,65,17894.08,275.29,166.25,1
6,frecuente,71,17082.89,240.6,119.04,1
7,regular,54,13299.49,246.29,112.58,1
8,regular,37,7516.35,203.14,101.51,0
9,regular,43,11595.65,269.67,157.67,1
10,mayoreo,59,14603.07,247.51,150.21,1
11,regular,78,23531.17,301.68,170.52,2
12,mayoreo,48,12651.45,263.57,143.5,1
13,mayoreo,91,25990.4,285.61,144.43,2
14,mayoreo,65,16220.41,249.54,141.74,1
15,regular,90,25283.96,280.93,157.98,2
16,mayoreo,58,13549.73,233.62,123.28,1
17,frecuente,72,19076.95,264.96,130.49,1
18,regular,89,25078.03,281.78,158.87,2
19,regular,86,25308.78,294.29,166.68,2
20,regular,48,11892.58,247.76,134.39,1
21,regular,49,10935.27,223.17,84.62,0
22,regular,104,29755.22,286.11,168.69,2
23,mayoreo,89,26274.43,295.22,178.71,2
24,mayoreo,91,24944.67,274.12,154.48,2
25,regular,65,17814.98,274.08,171.32,1
26,mayoreo,92,25034.01,272.11,154.01,2
27,regular,77,22334.52,290.06,178.43,2
28,mayoreo,69,18854.92,273.26,150.73,1
29,mayoreo,100,25315.16,253.15,142.49,2
30,mayoreo,80,22565.39,282.07,173.81,2
31,mayoreo,70,16039.95,229.14,110.3,1
32,frecuente,89,21730.95,244.17,134.76,2
33,regular,87,23144.69,266.03,140.14,2
34,frecuente,46,13145.98,285.78,157.84,1
35,mayoreo,72,19542.59,271.42,146.72,1
36,frecuente,64,18773.47,293.34,174.47,1
37,regular,56,15901.63,283.96,135.61,1
38,regular,97,25316.05,260.99,130.12,2
39,mayoreo,90,27884.08,309.82,178.75,2
40,frecuente,90,25455.48,282.84,167.97,2
41,frecuente,42,11118.38,264.72,131.15,1
42,frecuente,66,17391.01,263.5,130.27,1
43,regular,45,8155.51,181.23,58.91,0
44,regular,54,14610.16,270.56,142.5,1
45,frecuente,72,18645.5,258.97,146.58,1
46,regular,80,22044.22,275.55,164.52,2
47,regular,58,14884.37,256.63,144.23,1
48,frecuente,40,8486.84,212.17,106.96,0
49,regular,69,16001.76,231.91,113.83,1
50,frecuente,53,14191.38,267.76,137.75,1
51,frecuente,88,25731.03,292.4,166.05,2
